tweet_topic,user_id,user_URL,created_at,URL,tweet_text,sentiment,pos_possibility,neg_possibility,neu_possibility,state,gender,age
wearing-mask-australia,AngelaC02832391, https://twitter.com/AngelaC02832391,2020-07-16 22:13:30,https://twitter.com/i/web/status/1283887507965444097,RT @NickAdamsinUSA: Hollywood is more upset about people not wearing masks than their co-workers raping children.,negative,0.02539,0.94922,0.02539,,,
wearing-mask-australia,ProuseSydney, https://twitter.com/ProuseSydney,2020-07-16 22:31:56,https://twitter.com/i/web/status/1283892147897466881,Some of you are way more concerned with being “forced” to wear masks when the real “civil liberties” being infringed upon is our government publicly blocking access to the CDC and withholding valuable data and information from us. You sound stupid Patrick. https://t.co/m8XGXiNTfT,negative,0.00177,0.93945,0.05899,,,
wearing-mask-australia,mystereryder, https://twitter.com/mystereryder,2020-07-16 22:42:33,https://twitter.com/i/web/status/1283894821157924865,"RT @bocxtop: will never understand how wearing masks became the defining obstacle to American freedom and not idk the 40 hour work week,…",negative,0.00364,0.86426,0.13232,New South Wales,,
wearing-mask-australia,SuffolkJason, https://twitter.com/SuffolkJason,2020-07-16 22:13:38,https://twitter.com/i/web/status/1283887543705055232,RT @timspector: Our #Covidsymptomapp weekly update shows that UK prevalence and incidence cases have stopped falling since beginning of Jul…,negative,0.03497,0.58789,0.37695,,,
wearing-mask-australia,EmilyM06461502, https://twitter.com/EmilyM06461502,2020-07-16 22:24:17,https://twitter.com/i/web/status/1283890222862925835,RT @nhsswft: Our Director of Nursing shares with staff and the public the correct way to wear face masks. https://t.co/O5CAldd9Y6,positive,0.60205,0.01276,0.38525,,,
wearing-mask-australia,victoriahadams5, https://twitter.com/victoriahadams5,2020-07-16 22:27:42,https://twitter.com/i/web/status/1283891083148177412,RT @notjoss: so schools can’t force students to wear a mask... but they can force girls to cover up when they wear a spaghetti strap tank t…,negative,0.01953,0.96094,0.01953,,,
wearing-mask-australia,judxith, https://twitter.com/judxith,2020-07-16 22:51:14,https://twitter.com/i/web/status/1283897006247772160,RT @DannyPadilla: Wear. A. Freaking. Mask. When. In. Public.,negative,0.00916,0.78467,0.20605,,,
wearing-mask-australia,gschwa3, https://twitter.com/gschwa3,2020-07-16 22:36:33,https://twitter.com/i/web/status/1283893311695196172,RT @mmpadellan: Texas and Arizona have brought in refrigerated trucks because their morgues are filling up.  WEAR THE MASK.,neutral,0.0394,0.22156,0.73877,ACT,Female,(25-32)
wearing-mask-australia,KrebsbachPaul, https://twitter.com/KrebsbachPaul,2020-07-16 23:02:54,https://twitter.com/i/web/status/1283899939790049281,"@catturd2 A Seattle TV station has a poll, 80% said you should wear a mask outside..... there is your answer. We breed sheep in Washington 🐑🐑🐑🐑🐑🐑🐑🐑🐑🐑🐑🐑🐑🐑🐑🐑🐑🐑🐑🐑🐑🐑🐑🐑🐑🐑🐑😷🐑🐑🐑🐑🐑🐑🐑🐑🐑🐑🐑🐑🐑🐑🐑🐑🐑🐑🐑🐑🐑🐑🐑",negative,0.01143,0.57324,0.41528,Western Australia,,
wearing-mask-australia,davidnhamilton, https://twitter.com/davidnhamilton,2020-07-16 22:20:47,https://twitter.com/i/web/status/1283889341618692099,"RT @Fahrenthold: At a (packed) meeting, parents (without masks) demand to know why their kids have to wear masks to school. Great story by…",positive,0.73926,0.01086,0.24976,Victoria,Female,(25-32)
wearing-mask-australia,missalexlyn, https://twitter.com/missalexlyn,2020-07-16 22:43:36,https://twitter.com/i/web/status/1283895084144947204,RT @notjoss: so schools can’t force students to wear a mask... but they can force girls to cover up when they wear a spaghetti strap tank t…,negative,0.01953,0.96094,0.01953,Victoria,,
wearing-mask-australia,victoriaxxix, https://twitter.com/victoriaxxix,2020-07-16 22:16:04,https://twitter.com/i/web/status/1283888156409036800,RT @notjoss: so schools can’t force students to wear a mask... but they can force girls to cover up when they wear a spaghetti strap tank t…,negative,0.01953,0.96094,0.01953,,,
wearing-mask-australia,ObserverParafox, https://twitter.com/ObserverParafox,2020-07-16 22:24:22,https://twitter.com/i/web/status/1283890244643774464,RT @abbydphillip: Fauci addresses concerns that wearing a mask makes it harder to breath or has other kinds of negative effects: There is…,neutral,0.22998,0.04721,0.72266,,,
wearing-mask-australia,Vfmartin03, https://twitter.com/Vfmartin03,2020-07-16 22:25:11,https://twitter.com/i/web/status/1283890448549818368,RT @notjoss: so schools can’t force students to wear a mask... but they can force girls to cover up when they wear a spaghetti strap tank t…,negative,0.01953,0.96094,0.01953,,,
wearing-mask-australia,suckethit, https://twitter.com/suckethit,2020-07-16 22:47:18,https://twitter.com/i/web/status/1283896015339220993,"RT @__BigO__: Now that I quit My job I can say this....Lowe’s on I-65 in Mobile,AL has had 6-7 positive Covid cases. The store had not been…",negative,0.0258,0.50342,0.4707,Victoria,Female,(25-32)
wearing-mask-australia,rileycvg, https://twitter.com/rileycvg,2020-07-16 22:16:22,https://twitter.com/i/web/status/1283888229532368896,"RT @Cate__Johnson: A MAN WALKED INTO A GROCERY STORE IN A SMALL TOWN IN ONTARIO WAS ASKED TO WEAR A MASK, ASSAULTED THE EMPLOYEE, FLED, HIT…",negative,0.02771,0.52148,0.45093,Western Australia,,
wearing-mask-australia,PsychicWarsVet, https://twitter.com/PsychicWarsVet,2020-07-16 22:24:54,https://twitter.com/i/web/status/1283890378224041985,RT @1Dbl_Cheese: Everybody tweeted @Walmart and told them how unhappy you are with their decision to go against science and require custome…,negative,0.00328,0.9082,0.08826,Victoria,,
wearing-mask-australia,PsychicWarsVet, https://twitter.com/PsychicWarsVet,2020-07-16 22:51:40,https://twitter.com/i/web/status/1283897115522072580,"RT @EricAndAngela1: First it was stay home shut down the country. 2,4,6, maybe 8 weeks no china virus. Then 6ft social distancing.  Now wea…",negative,0.01842,0.61914,0.36255,Victoria,,
wearing-mask-australia,Chez312, https://twitter.com/Chez312,2020-07-16 22:20:46,https://twitter.com/i/web/status/1283889339525509126,RT @goodfoodgal: While I am healthy I will never ever wear a mask.   Ever.  See what happens if you try to make me.,negative,0.03888,0.48804,0.47314,New South Wales,,
wearing-mask-australia,Chez312, https://twitter.com/Chez312,2020-07-16 22:24:21,https://twitter.com/i/web/status/1283890239463755777,RT @StevenJayWright: @QTAnon1 June: When you have crowds of people together and you have the lack of wearing a mask that increases the ris…,neutral,0.0394,0.29932,0.66113,New South Wales,,
wearing-mask-australia,Chez312, https://twitter.com/Chez312,2020-07-16 22:28:17,https://twitter.com/i/web/status/1283891232364572672,RT @RedPillMaC: The risk of wearing a mask.  #NoMask #COVID19 https://t.co/0TgnPVdTp8,neutral,0.05066,0.09821,0.85107,New South Wales,,
wearing-mask-australia,synnibc, https://twitter.com/synnibc,2020-07-16 22:52:50,https://twitter.com/i/web/status/1283897407680335872,"RT @Cate__Johnson: A MAN WALKED INTO A GROCERY STORE IN A SMALL TOWN IN ONTARIO WAS ASKED TO WEAR A MASK, ASSAULTED THE EMPLOYEE, FLED, HIT…",negative,0.02771,0.52148,0.45093,New South Wales,Female,(38-43)
wearing-mask-australia,bwtibbitts, https://twitter.com/bwtibbitts,2020-07-16 22:41:58,https://twitter.com/i/web/status/1283894673157820416,"RT @Yamiche: Facebook CEO Mark Zuckerberg to Dr. Fauci: It’s really disappointing that we still don’t have adequate testing, that the cred…",negative,0.01569,0.67383,0.31055,Victoria,Male,(8-12)
wearing-mask-australia,kimemaankipa, https://twitter.com/kimemaankipa,2020-07-16 22:43:49,https://twitter.com/i/web/status/1283895141258805249,"RT @Cate__Johnson: A MAN WALKED INTO A GROCERY STORE IN A SMALL TOWN IN ONTARIO WAS ASKED TO WEAR A MASK, ASSAULTED THE EMPLOYEE, FLED, HIT…",negative,0.02771,0.52148,0.45093,,,
wearing-mask-australia,satvik_sh, https://twitter.com/satvik_sh,2020-07-16 22:39:24,https://twitter.com/i/web/status/1283894028270886912,"RT @UWAthletics: .@DubsUW wanted to help us share a demonstration on how 𝘯𝘰𝘵 to wear a mask.   Because he's a v good boy, though, watch unt…",positive,0.49927,0.03299,0.46777,,,
wearing-mask-australia,_inyore, https://twitter.com/_inyore,2020-07-16 22:16:42,https://twitter.com/i/web/status/1283888314559246336,@MercurialMoose That would be great IF we could just wear our 😷!!,neutral,0.07281,0.46118,0.46606,,,
wearing-mask-australia,victorial_1018, https://twitter.com/victorial_1018,2020-07-16 22:56:50,https://twitter.com/i/web/status/1283898417144463360,"RT @DominicPettman: This morning, the young barista woman told me that a customer came in with a mask, but not wearing it. When she asked t…",neutral,0.04776,0.11884,0.8335,Victoria,,
wearing-mask-australia,Smiley_Fries_, https://twitter.com/Smiley_Fries_,2020-07-16 22:57:05,https://twitter.com/i/web/status/1283898478637322241,"RT @TorontoStar: Canadians between the ages of 45 and 59 and men are the least likely to wear a mask indoors, a new poll has found. #COVID1…",neutral,0.02852,0.39136,0.58008,Victoria,,
wearing-mask-australia,RtmLepage, https://twitter.com/RtmLepage,2020-07-16 22:59:20,https://twitter.com/i/web/status/1283899043572137984,@TheBeaverton @MontePaulsen All the reasons why you don't need to wear a mask: https://t.co/G6xfnuyTj9,neutral,0.22693,0.09442,0.67871,,,
wearing-mask-australia,LeslieSwan11, https://twitter.com/LeslieSwan11,2020-07-16 22:53:23,https://twitter.com/i/web/status/1283897545375137792,RT @TheBabylonBee: Study Finds Connection Between Wearing A Mask And Being A Big Sissy https://t.co/1cLB1m4kQC,negative,0.0081,0.80273,0.18933,Western Australia,,
wearing-mask-australia,ag_sxlxs, https://twitter.com/ag_sxlxs,2020-07-16 22:54:20,https://twitter.com/i/web/status/1283897785293709319,RT @yyazzieali: WEAR YOUR MASKS !!! https://t.co/FywAoZivWk,neutral,0.06787,0.19922,0.73291,South Australia,Female,(60-100)
wearing-mask-australia,Blanksmyname, https://twitter.com/Blanksmyname,2020-07-16 22:47:00,https://twitter.com/i/web/status/1283895939501969412,"RT @DominicPettman: This morning, the young barista woman told me that a customer came in with a mask, but not wearing it. When she asked t…",neutral,0.04776,0.11884,0.8335,,,
wearing-mask-australia,Devyn_Lopez, https://twitter.com/Devyn_Lopez,2020-07-16 22:37:02,https://twitter.com/i/web/status/1283893432797106176,"RT @bocxtop: will never understand how wearing masks became the defining obstacle to American freedom and not idk the 40 hour work week,…",negative,0.00364,0.86426,0.1322,New South Wales,,
wearing-mask-australia,bike_ba_birgin, https://twitter.com/bike_ba_birgin,2020-07-16 23:04:12,https://twitter.com/i/web/status/1283900270846414848,"RT @Cate__Johnson: A MAN WALKED INTO A GROCERY STORE IN A SMALL TOWN IN ONTARIO WAS ASKED TO WEAR A MASK, ASSAULTED THE EMPLOYEE, FLED, HIT…",negative,0.02771,0.52148,0.45093,,,
wearing-mask-australia,bike_ba_birgin, https://twitter.com/bike_ba_birgin,2020-07-16 23:04:47,https://twitter.com/i/web/status/1283900417357647872,RT @notjoss: so schools can’t force students to wear a mask... but they can force girls to cover up when they wear a spaghetti strap tank t…,negative,0.01953,0.96094,0.01953,,,
wearing-mask-australia,brad_battenberg, https://twitter.com/brad_battenberg,2020-07-16 22:34:25,https://twitter.com/i/web/status/1283892772064223233,RT @49ersfangirl: Jed York: If you want to see Jimmy Garoppolo throw a touchdown... wear a mask,negative,0.00477,0.81592,0.1792,New South Wales,,
wearing-mask-australia,allishen, https://twitter.com/allishen,2020-07-16 22:47:13,https://twitter.com/i/web/status/1283895996448006144,RT @Biboyism101: Not following instruction on how to wear a mask.   Health secretary iyan ah. https://t.co/V46hnHn814,negative,0.04297,0.91406,0.04297,South Australia,,
wearing-mask-australia,Frost_bite13, https://twitter.com/Frost_bite13,2020-07-16 23:02:39,https://twitter.com/i/web/status/1283899878637068288,"RT @Cate__Johnson: A MAN WALKED INTO A GROCERY STORE IN A SMALL TOWN IN ONTARIO WAS ASKED TO WEAR A MASK, ASSAULTED THE EMPLOYEE, FLED, HIT…",negative,0.02771,0.52148,0.45093,Western Australia,,
wearing-mask-australia,NLubczynska, https://twitter.com/NLubczynska,2020-07-16 22:39:04,https://twitter.com/i/web/status/1283893943734870016,RT @notjoss: so schools can’t force students to wear a mask... but they can force girls to cover up when they wear a spaghetti strap tank t…,negative,0.01953,0.96094,0.01953,,,
wearing-mask-australia,NoftleGrant, https://twitter.com/NoftleGrant,2020-07-16 22:14:16,https://twitter.com/i/web/status/1283887704694898688,RT @aubrey_huff: If you’re wearing a mask then you shouldn’t care if I don’t. Since you know....masks work.,neutral,0.02731,0.46265,0.50977,Western Australia,,
wearing-mask-australia,zapperthecat, https://twitter.com/zapperthecat,2020-07-16 22:55:08,https://twitter.com/i/web/status/1283897985894670336,"RT @DominicPettman: This morning, the young barista woman told me that a customer came in with a mask, but not wearing it. When she asked t…",neutral,0.04776,0.11884,0.8335,Western Australia,,
wearing-mask-australia,nannelflannel, https://twitter.com/nannelflannel,2020-07-16 22:56:19,https://twitter.com/i/web/status/1283898286349234176,RT @EugeneLeeYang: America. Our discourse around COVID-19 is so fucking stupid. I’m in Seoul and Koreans are wearing masks and getting test…,negative,0.00205,0.92822,0.0697,Western Australia,,
wearing-mask-australia,Iamabutterfly33, https://twitter.com/Iamabutterfly33,2020-07-16 22:48:38,https://twitter.com/i/web/status/1283896352888373248,"@7NewsMelbourne @ScottMorrisonMP People are saying Victoria, Where I live we've had 1 Case of that virus in 14 weeks and obviously that came from Melbourne, Surely we in Warrnambool don't have to wear a mask.",negative,0.00588,0.75684,0.23706,,,
wearing-mask-australia,RepDennyHeck, https://twitter.com/RepDennyHeck,2020-07-16 22:22:09,https://twitter.com/i/web/status/1283889687002742784,"At the end of the day, wearing masks helps protect others and slow the spread of the virus. That's why it's so important that we wear masks when we're in public. #MaskUpWA https://t.co/5z784AaRfY",positive,0.53955,0.02573,0.43481,Western Australia,,
wearing-mask-australia,dday425, https://twitter.com/dday425,2020-07-16 22:34:39,https://twitter.com/i/web/status/1283892834148311041,"RT @USDOL: Help stop the spread of #COVID19: • Stay 6+ feet away from others • Wear a facemask • Wash your hands regularly, with soap Get m…",neutral,0.18835,0.27295,0.53857,Western Australia,,
wearing-mask-australia,dday425, https://twitter.com/dday425,2020-07-16 22:40:31,https://twitter.com/i/web/status/1283894307934502914,RT @NYGovCuomo: Wearing a mask is about respect.  We launched a national campaign to encourage every American to wear a mask. Stop the Spre…,neutral,0.2644,0.0752,0.66016,Western Australia,,
wearing-mask-australia,dcavSSM, https://twitter.com/dcavSSM,2020-07-16 22:13:22,https://twitter.com/i/web/status/1283887475413225472,"RT @Cate__Johnson: A MAN WALKED INTO A GROCERY STORE IN A SMALL TOWN IN ONTARIO WAS ASKED TO WEAR A MASK, ASSAULTED THE EMPLOYEE, FLED, HIT…",negative,0.02771,0.52148,0.45093,Western Australia,,
wearing-mask-australia,SabreVolpe, https://twitter.com/SabreVolpe,2020-07-16 22:20:29,https://twitter.com/i/web/status/1283889268796977154,RT @notjoss: so schools can’t force students to wear a mask... but they can force girls to cover up when they wear a spaghetti strap tank t…,negative,0.01953,0.96094,0.01953,,,
wearing-mask-australia,AgedMatters, https://twitter.com/AgedMatters,2020-07-16 22:23:35,https://twitter.com/i/web/status/1283890046253199360,"The aged care homes with Covid-19 are all beautifully furnished. A well furnished home is no protection against Covid-19.  To manage outbreaks, providers need to employ high numbers of well trained staff who know how to use PPE - not just how to wear masks. #agedcare https://t.co/FRjatnCpKL",negative,0.00785,0.74463,0.24731,,,
wearing-mask-australia,WITCHTRlALS, https://twitter.com/WITCHTRlALS,2020-07-16 22:32:45,https://twitter.com/i/web/status/1283892356236947457,"RT @DominicPettman: This morning, the young barista woman told me that a customer came in with a mask, but not wearing it. When she asked t…",neutral,0.04776,0.11884,0.8335,Victoria,,
wearing-mask-australia,hgrabel1, https://twitter.com/hgrabel1,2020-07-16 22:29:03,https://twitter.com/i/web/status/1283891422031228939,"RT @GovMikeDeWine: As of tomorrow night at 6:00 all Red Alert Level 3 counties will be under a mask order, meaning nearly 60% of Ohio will…",neutral,0.10126,0.25146,0.64697,Victoria,,
